"Quota[km]","g[m/s2]","T[K]","Rho[kg/m3]","P[kg/kmoli]","Lam[m]"
120,9.4466,359.06,2.2434E-8,26.211,3.2716
117.5,9.4539,328.88,3.0774E-8,26.441,2.4054
115,9.4612,298.95,4.3476E-8,26.691,1.7193
112.5,9.4685,268.67,6.4197E-8,26.971,1.1781
110,9.4759,243.64,9.6704E-8,27.265,0.79127
107.5,9.4832,223.94,1.501E-7,27.58,0.5158
105,9.4905,209.65,2.3284E-7,27.875,0.33601
102.5,9.4979,201.75,3.6093E-7,28.14,0.21868
100,9.5052,195.57,5.6279E-7,28.376,0.14136
97.5,9.5126,191.63,8.8539E-7,28.565,0.090457
95,9.52,188.82,1.3914E-6,28.722,0.057869
92.5,9.5274,187.6,2.1828E-6,28.827,0.037007
90,9.5348,186.87,3.4166E-6,28.902,0.023717
87.5,9.5422,186.87,5.329E-6,28.932,0.01525
85,9.5496,188.84,8.2195E-6,28.956,0.0098828
82.5,9.557,193.75,1.2378E-5,28.962,0.0065639
80,9.5644,198.64,1.8458E-5,28.964,0.0044023
77.5,9.5718,203.52,2.7267E-5,28.964,0.0029801
75,9.5793,208.4,3.9921E-5,28.964,0.0020354
72.5,9.5867,213.29,5.7951E-5,28.964,0.0014022
70,9.5942,219.58,8.2829E-5,28.964,9.810301E-4
67.5,9.6017,226.44,1.1685E-4,28.964,6.9538E-4
65,9.6091,233.29,1.6321E-4,28.964,4.9787E-4
62.5,9.6166,240.15,2.2582E-4,28.964,3.5983E-4
60,9.6241,247.02,3.0968E-4,28.964,2.6239E-4
57.5,9.6316,253.89,4.2111E-4,28.964,1.9296E-4
55,9.6391,260.77,0.0005681,28.964,1.4303E-4
52.5,9.6467,267.65,7.6071E-4,28.964,1.0683E-4
50,9.6542,270.65,0.0010269,28.964,7.913E-5
49,9.6572,270.65,0.0011628,28.964,6.9882E-5
48,9.6602,270.65,0.0013167,28.964,6.1713E-5
47,9.6632,269.68,0.0014965,28.964,5.4297E-5
46,9.6662,266.92,0.0017141,28.964,4.7404E-5
45,9.6693,264.16,0.0019663,28.964,4.1325E-5
44,9.6723,261.4,0.0022589,28.964,3.5973E-5
43,9.6753,258.64,0.0025989,28.964,3.1266E-5
42,9.6783,255.88,0.0029948,28.964,2.7133E-5
41,9.6814,253.11,0.0034564,28.964,2.3509E-5
40,9.6844,250.35,0.0039957,28.964,2.0336E-5
